DIM_GHECAUSE_CODE,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DTHS_RATE100K_NUMERIC,year
395,COVID-19,8148.1,278.42,2021
1130,Ischaemic heart disease,3480.43,121.52,2021
500,Preterm birth complications,1754.23,13.85,2021
1180,Chronic obstructive pulmonary disease,1677.44,66.14,2021
1140,Stroke,1389.56,49.34,2021
30,Tuberculosis,1190.0,29.43,2021
1530,Road injury,1166.91,21.87,2021
110,Diarrhoeal diseases,1089.04,25.73,2021
390,Lower respiratory infections,1038.29,23.77,2021
1230,Cirrhosis of the liver,956.47,24.6,2021
