DIM_GHECAUSE_CODE,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DTHS_RATE100K_NUMERIC,year
500,Preterm birth complications,4774.67,47.19,2000
110,Diarrhoeal diseases,4438.89,82.94,2000
30,Tuberculosis,4374.88,99.58,2000
390,Lower respiratory infections,3858.35,51.5,2000
510,Birth asphyxia and birth trauma,2755.81,29.46,2000
1130,Ischaemic heart disease,2394.05,76.84,2000
150,Measles,1700.58,18.78,2000
1530,Road injury,1505.42,24.87,2000
100,HIV/AIDS,1341.16,25.01,2000
1180,Chronic obstructive pulmonary disease,1334.01,49.63,2000
