2025-12-26 14:38:12,238 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 14:44:12,649 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 14:49:11,780 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 18:18:22,096 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:02:04,139 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:15:12,273 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:19:40,889 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:36:07,172 | INFO | climate_eda | Cleaned data saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:46:36,062 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:46:39,721 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:46:54,674 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:47:41,174 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-26 21:57:09,226 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-27 01:52:50,814 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-27 04:17:41,574 | INFO | climate_project | Phase 9 — MLOps polish started.
2025-12-27 04:18:35,441 | INFO | climate_project | All project folders verified or created.
2025-12-27 04:19:49,244 | INFO | climate_project | Python version: 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)]
2025-12-27 04:19:49,245 | INFO | climate_project | Pandas version: 2.3.3
2025-12-27 04:19:49,246 | INFO | climate_project | Seaborn version: 0.13.2
2025-12-27 04:19:49,247 | INFO | climate_project | Matplotlib version: 3.10.8
2025-12-27 04:20:12,981 | INFO | climate_project | Cleaned dataset saved to datasets\processed\climate\openaq_processed_final.csv
2025-12-27 04:20:13,191 | INFO | climate_project | Sample plot saved to plots\climate\value_distribution.png
2025-12-27 04:22:01,143 | INFO | climate_project | Phase 9 — MLOps polish completed. Notebook is now re-runnable and portfolio-ready.
2025-12-27 04:23:20,048 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-27 04:31:18,289 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-27 04:31:20,960 | INFO | climate_eda | Pollutants removed (less than 10 observations): {'temperature', 'um003', 'pm1', 'relativehumidity'}
2025-12-27 04:31:20,963 | INFO | climate_eda | Remaining pollutants: ['pm2.5', 'no2', 'co', 'pm10', 'so2', 'o3']
2025-12-27 04:34:52,992 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-27 04:34:54,946 | INFO | climate_eda | Pollutants removed (less than 10 observations): {'temperature', 'um003', 'pm1', 'relativehumidity'}
2025-12-27 04:34:54,947 | INFO | climate_eda | Remaining pollutants: ['pm2.5', 'no2', 'co', 'pm10', 'so2', 'o3']
2025-12-28 04:04:27,893 | INFO | climate_eda | Phase 1 snapshot saved to datasets\processed\climate\openaq_processed.csv
2025-12-28 04:04:30,241 | INFO | climate_eda | Pollutants removed (less than 10 observations): {'temperature', 'um003', 'pm1', 'relativehumidity'}
2025-12-28 04:04:30,242 | INFO | climate_eda | Remaining pollutants: ['pm2.5', 'no2', 'co', 'pm10', 'so2', 'o3']
2025-12-28 04:04:39,562 | INFO | climate_project | Phase 9 — MLOps polish started.
2025-12-28 04:04:39,580 | INFO | climate_project | All project folders verified or created.
2025-12-28 04:04:39,597 | INFO | climate_project | Python version: 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)]
2025-12-28 04:04:39,598 | INFO | climate_project | Pandas version: 2.3.3
2025-12-28 04:04:39,599 | INFO | climate_project | Seaborn version: 0.13.2
2025-12-28 04:04:39,600 | INFO | climate_project | Matplotlib version: 3.10.8
2025-12-28 04:04:39,720 | INFO | climate_project | Cleaned dataset saved to datasets\processed\climate\openaq_processed_final.csv
2025-12-28 04:04:39,886 | INFO | climate_project | Sample plot saved to plots\climate\value_distribution.png
2025-12-28 04:04:39,897 | INFO | climate_project | Phase 9 — MLOps polish completed. Notebook is now re-runnable and portfolio-ready.
